epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.2087,3.71757,30.0702,2.98978,0,0,0,0,3.54512,50.9385,2.89623,0.00024293,0.00024293,0.00024293
2,22.7441,3.82196,50.3114,3.06335,0,0,0,0,nan,nan,nan,0.000497674,0.000497674,0.000497674
3,30.0289,3.81988,14.0448,3.02357,0,0,0,0,nan,nan,nan,0.000749872,0.000749872,0.000749872
4,35.9205,3.94304,8.97707,2.90107,0,0,0,0,nan,nan,nan,0.000999523,0.000999523,0.000999523
5,42.3716,4.05089,6.51218,2.95115,0,0,0,0,nan,nan,nan,0.00124663,0.00124663,0.00124663
6,50.1913,4.09526,5.87852,2.94928,0,0,0,0,nan,nan,nan,0.00139363,0.00139363,0.00139363
7,57.635,4.02938,5.8365,2.84958,0,0,0,0,nan,nan,nan,0.00138656,0.00138656,0.00138656
8,65.4148,4.0613,5.49987,2.87403,0,0,0,0,nan,nan,nan,0.00137949,0.00137949,0.00137949
9,72.3919,4.09153,5.46931,2.90276,0,0,0,0,nan,nan,nan,0.00137241,0.00137241,0.00137241
10,78.4696,4.09491,5.31328,2.96794,7e-05,0.01515,3e-05,0,nan,nan,nan,0.00136534,0.00136534,0.00136534
11,85.5094,4.0491,5.34193,2.92475,7e-05,0.01515,3e-05,0,nan,nan,nan,0.00135826,0.00135826,0.00135826
12,93.4763,3.97353,5.33273,2.82807,7e-05,0.01515,4e-05,0,nan,nan,nan,0.00135119,0.00135119,0.00135119
13,101.404,3.97285,5.28314,2.90525,0.0001,0.04545,7e-05,2e-05,nan,nan,nan,0.00134412,0.00134412,0.00134412
14,108.692,4.03664,5.32205,2.95106,0.0001,0.04545,7e-05,2e-05,4.13547,4.4072,3.2502,0.00133704,0.00133704,0.00133704
15,115.003,4.07548,5.27948,2.97442,0.00023,0.01515,0.00013,1e-05,4.26373,4.41197,3.39012,0.00132997,0.00132997,0.00132997
16,120.671,4.12031,5.33499,2.95616,0.00023,0.01515,0.00013,1e-05,4.30107,5.94981,3.30804,0.0013229,0.0013229,0.0013229
17,128.126,4.06141,5.37025,2.98726,5e-05,0.01515,3e-05,1e-05,4.17477,5.41553,3.22379,0.00131582,0.00131582,0.00131582
18,136.022,3.97098,5.23823,2.93294,5e-05,0.01515,3e-05,1e-05,4.20223,4.73347,3.15536,0.00130875,0.00130875,0.00130875
19,143.472,3.96358,5.21732,2.917,5e-05,0.01515,3e-05,1e-05,2.78069,3.20442,2.3831,0.00130168,0.00130168,0.00130168
20,150.904,4.009,5.16842,2.90746,5e-05,0.01515,3e-05,1e-05,2.84615,3.25908,2.86784,0.0012946,0.0012946,0.0012946
21,157.134,4.07249,5.23671,2.87423,5e-05,0.01515,3e-05,1e-05,2.76709,3.27409,2.61886,0.00128753,0.00128753,0.00128753
22,163.02,3.8709,5.17322,2.83033,5e-05,0.01515,4e-05,0,4.69675,6.61533,3.16919,0.00128046,0.00128046,0.00128046
23,170.179,4.01983,5.17931,2.84169,5e-05,0.01515,4e-05,0,4.09809,4.65524,3.07803,0.00127338,0.00127338,0.00127338
24,177.187,4.1337,5.35353,2.92207,5e-05,0.01515,4e-05,0,3.94525,8.76026,3.16372,0.00126631,0.00126631,0.00126631
25,184.582,3.96013,5.257,2.88617,5e-05,0.01515,3e-05,0,4.1211,4.60343,3.14439,0.00125923,0.00125923,0.00125923
26,192.086,3.91892,5.24742,2.93224,5e-05,0.01515,3e-05,0,4.16552,4.84637,3.16672,0.00125216,0.00125216,0.00125216
27,198.356,3.94423,5.46033,2.79755,0.00035,0.01515,0.00018,4e-05,4.09792,31.7057,3.11959,0.00124509,0.00124509,0.00124509
28,203.729,4.06119,4.98832,2.92372,0.00035,0.01515,0.00018,4e-05,4.04618,4.6315,3.07165,0.00123801,0.00123801,0.00123801
29,211.331,3.88367,5.10005,2.8491,0.00035,0.01515,0.00018,4e-05,4.04292,4.70789,3.08849,0.00123094,0.00123094,0.00123094
30,218.748,3.77055,5.14265,2.84653,0.00035,0.01515,0.00018,4e-05,4.11615,4.63095,3.14412,0.00122387,0.00122387,0.00122387
31,226.208,3.98915,5.19002,2.88942,0.00035,0.01515,0.00018,4e-05,4.05611,4.5558,3.10207,0.00121679,0.00121679,0.00121679
32,233.678,3.86451,5.09664,2.91871,0.00035,0.01515,0.00018,4e-05,4.01266,4.68598,3.0957,0.00120972,0.00120972,0.00120972
33,239.872,3.94184,5.10737,2.86876,0.00035,0.01515,0.00018,4e-05,4.018,4.66008,3.13834,0.00120265,0.00120265,0.00120265
34,245.329,3.86515,5.13695,2.77568,0.00016,0.01515,9e-05,1e-05,4.75092,6.9969,4.29078,0.00119557,0.00119557,0.00119557
35,252.332,3.83093,5.07402,2.92731,0.00016,0.01515,9e-05,1e-05,4.78299,4.82864,4.15917,0.0011885,0.0011885,0.0011885
36,259.2,3.92111,5.1246,2.89843,0.00016,0.01515,9e-05,1e-05,4.26384,4.93435,3.41381,0.00118143,0.00118143,0.00118143
37,266.171,3.93997,5.10827,2.85778,0.00157,0.01515,0.00089,0.00018,4.28646,4.77451,3.26793,0.00117435,0.00117435,0.00117435
38,273.644,3.84264,5.1104,2.88228,0.00023,0.01515,0.00046,9e-05,4.67125,4.72381,3.54932,0.00116728,0.00116728,0.00116728
39,280.289,3.8868,5.03875,2.89,0.00023,0.01515,0.00046,9e-05,4.72163,4.92022,3.76904,0.00116021,0.00116021,0.00116021
